material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability
Paper,1566,High,1,1.409,7.83,9
Bioplastic,1477,Medium,1,1.034,7.385,7
Paper,295,Medium,1,0.266,1.475,9
Bioplastic,855,Medium,1,0.599,4.275,7
Ceramic,1198,Low,1,1.438,5.99,5
Bioplastic,1356,Medium,1,0.949,6.78,7
Paper,1761,Low,1,1.585,8.805,9
Plastic,639,High,1,1.342,3.195,2
Glass,1053,Low,1,1.579,5.265,6
Metal,257,High,1,0.463,1.285,5
Ceramic,1191,Low,1,1.429,5.955,5
Plastic,1490,Medium,1,3.129,7.45,2
Ceramic,609,Medium,1,0.731,3.045,5
Metal,1245,High,0,2.241,6.225,5
Bioplastic,1481,Medium,0,1.037,7.405,7
Plastic,1450,Low,1,3.045,7.25,2
Ceramic,787,Low,1,0.944,3.935,5
Ceramic,1405,Low,1,1.686,7.025,5
Plastic,737,Medium,1,1.548,3.685,2
Ceramic,709,Low,1,0.851,3.545,5
Metal,526,Medium,1,0.947,2.63,5
Glass,1614,High,0,2.421,8.07,6
Glass,479,Medium,1,0.719,2.395,6
Plastic,735,Medium,1,1.544,3.675,2
Bioplastic,1310,Low,1,0.917,6.55,7
Paper,950,Low,1,0.855,4.75,9
Ceramic,1157,High,0,1.388,5.785,5
Bioplastic,1781,Low,1,1.247,8.905,7
Glass,723,Low,1,1.085,3.615,6
Plastic,450,Medium,1,0.945,2.25,2
Ceramic,268,Low,1,0.322,1.34,5
Metal,379,Low,1,0.682,1.895,5
Glass,1547,High,0,2.321,7.735,6
Ceramic,1509,Low,1,1.811,7.545,5
Glass,1285,Low,1,1.927,6.425,6
Paper,955,Low,1,0.86,4.775,9
Glass,1622,Medium,1,2.433,8.11,6
Paper,394,Low,1,0.355,1.97,9
Paper,380,Medium,0,0.342,1.9,9
Glass,1135,Medium,1,1.702,5.675,6
Plastic,1407,Medium,1,2.955,7.035,2
Plastic,803,Low,1,1.686,4.015,2
Ceramic,471,Low,0,0.565,2.355,5
Ceramic,876,High,0,1.051,4.38,5
Metal,198,Low,1,0.356,0.99,5
Metal,1903,Low,0,3.425,9.515,5
Metal,1471,High,0,2.648,7.355,5
Ceramic,1414,Low,1,1.697,7.07,5
Metal,1346,Low,0,2.423,6.73,5
Metal,1183,Low,1,2.129,5.915,5
Metal,1185,Medium,1,2.133,5.925,5
Plastic,1166,Medium,1,2.449,5.83,2
Plastic,1778,Low,0,3.734,8.89,2
Glass,1426,Medium,1,2.139,7.13,6
Ceramic,456,Medium,1,0.547,2.28,5
Metal,1818,Medium,1,3.272,9.09,5
Ceramic,214,Medium,0,0.257,1.07,5
Bioplastic,336,Low,1,0.235,1.68,7
Paper,272,High,1,0.245,1.36,9
Bioplastic,505,High,1,0.353,2.525,7
Metal,524,Low,1,0.943,2.62,5
Ceramic,1763,High,1,2.116,8.815,5
Glass,536,Medium,1,0.804,2.68,6
Glass,1661,Medium,1,2.491,8.305,6
Plastic,1726,Medium,1,3.625,8.63,2
Glass,1618,Low,1,2.427,8.09,6
Bioplastic,1671,Low,1,1.17,8.355,7
Bioplastic,866,Low,1,0.606,4.33,7
Glass,1513,Low,1,2.269,7.565,6
Plastic,675,Low,1,1.417,3.375,2
Ceramic,226,High,1,0.271,1.13,5
Plastic,116,Medium,1,0.244,0.58,2
Bioplastic,867,Medium,1,0.607,4.335,7
Paper,1829,High,0,1.646,9.145,9
Ceramic,1841,Medium,1,2.209,9.205,5
Glass,559,Medium,1,0.839,2.795,6
Bioplastic,191,Low,1,0.134,0.955,7
Ceramic,1542,High,1,1.85,7.71,5
Paper,1447,Medium,1,1.302,7.235,9
Bioplastic,1779,Low,1,1.245,8.895,7
Paper,1866,Low,1,1.679,9.33,9
Bioplastic,1072,Medium,1,0.75,5.36,7
Plastic,277,Low,1,0.582,1.385,2
Glass,1352,Low,1,2.028,6.76,6
Plastic,1369,Low,0,2.875,6.845,2
Ceramic,1372,High,1,1.646,6.86,5
Plastic,1898,High,1,3.986,9.49,2
Bioplastic,549,Low,1,0.384,2.745,7
Paper,1294,Low,1,1.165,6.47,9
Ceramic,894,Low,0,1.073,4.47,5
Paper,303,Low,1,0.273,1.515,9
Bioplastic,314,Medium,1,0.22,1.57,7
Paper,507,Low,1,0.456,2.535,9
Ceramic,1932,High,1,2.318,9.66,5
Ceramic,819,Low,1,0.983,4.095,5
Ceramic,848,Low,1,1.018,4.24,5
Bioplastic,310,Medium,1,0.217,1.55,7
Plastic,502,Low,1,1.054,2.51,2
Bioplastic,1059,High,1,0.741,5.295,7
Ceramic,1876,Medium,1,2.251,9.38,5
Plastic,794,Low,1,1.667,3.97,2
Metal,139,Low,0,0.25,0.695,5
Glass,1942,Medium,1,2.913,9.71,6
Glass,726,Low,1,1.089,3.63,6
Glass,1678,Low,1,2.517,8.39,6
Glass,648,High,1,0.972,3.24,6
Plastic,1244,Medium,1,2.612,6.22,2
Bioplastic,580,High,0,0.406,2.9,7
Glass,188,High,1,0.282,0.94,6
Metal,1365,Low,1,2.457,6.825,5
Glass,1583,Medium,0,2.374,7.915,6
Bioplastic,870,High,1,0.609,4.35,7
Plastic,399,Medium,0,0.838,1.995,2
Ceramic,1935,High,1,2.322,9.675,5
Ceramic,1552,High,1,1.862,7.76,5
Glass,119,Low,1,0.178,0.595,6
Glass,471,Medium,1,0.707,2.355,6
Plastic,1733,Low,1,3.639,8.665,2
Ceramic,168,High,1,0.202,0.84,5
Bioplastic,1619,Medium,1,1.133,8.095,7
Metal,542,High,1,0.976,2.71,5
Paper,848,High,1,0.763,4.24,9
Paper,671,Low,1,0.604,3.355,9
Paper,1339,High,1,1.205,6.695,9
Plastic,428,Medium,1,0.899,2.14,2
Plastic,1779,Medium,1,3.736,8.895,2
Bioplastic,745,High,1,0.521,3.725,7
Metal,244,Medium,1,0.439,1.22,5
Ceramic,1389,Medium,1,1.667,6.945,5
Bioplastic,1001,Low,1,0.701,5.005,7
Ceramic,942,Low,1,1.13,4.71,5
Plastic,295,Medium,1,0.62,1.475,2
Ceramic,1860,Low,1,2.232,9.3,5
Ceramic,889,Low,1,1.067,4.445,5
Bioplastic,838,Medium,1,0.587,4.19,7
Metal,1930,High,1,3.474,9.65,5
Bioplastic,1279,Low,1,0.895,6.395,7
Bioplastic,1576,Low,0,1.103,7.88,7
Metal,154,High,1,0.277,0.77,5
Metal,1800,Medium,1,3.24,9,5
Glass,446,High,1,0.669,2.23,6
Paper,737,Medium,1,0.663,3.685,9
Metal,1573,Low,1,2.831,7.865,5
Bioplastic,1070,Low,0,0.749,5.35,7
Plastic,1303,Low,0,2.736,6.515,2
Glass,1157,Medium,1,1.736,5.785,6
Glass,952,Medium,1,1.428,4.76,6
Bioplastic,480,Low,1,0.336,2.4,7
Plastic,278,Medium,1,0.584,1.39,2
Paper,270,Low,1,0.243,1.35,9
Paper,1814,High,0,1.633,9.07,9
Bioplastic,1954,Low,1,1.368,9.77,7
Metal,1185,Low,1,2.133,5.925,5
Bioplastic,852,Low,1,0.596,4.26,7
Paper,1732,Medium,0,1.559,8.66,9
Metal,1231,Medium,0,2.216,6.155,5
Ceramic,931,Low,1,1.117,4.655,5
Glass,1071,Medium,1,1.607,5.355,6
Ceramic,1825,Low,1,2.19,9.125,5
Ceramic,909,Medium,1,1.091,4.545,5
Plastic,583,Low,1,1.224,2.915,2
Ceramic,601,Medium,1,0.721,3.005,5
Ceramic,409,High,1,0.491,2.045,5
Plastic,547,Low,0,1.149,2.735,2
Glass,629,High,1,0.944,3.145,6
Metal,1087,High,1,1.957,5.435,5
Plastic,1112,High,1,2.335,5.56,2
Bioplastic,908,Low,1,0.636,4.54,7
Glass,1206,Medium,0,1.809,6.03,6
Plastic,1259,Low,1,2.644,6.295,2
Metal,138,Medium,0,0.248,0.69,5
Plastic,986,Low,1,2.071,4.93,2
Glass,1227,Low,1,1.841,6.135,6
Metal,519,High,0,0.934,2.595,5
Ceramic,1814,Low,1,2.177,9.07,5
Metal,1255,Medium,1,2.259,6.275,5
Paper,658,Medium,1,0.592,3.29,9
Plastic,158,Medium,1,0.332,0.79,2
Paper,1021,Low,0,0.919,5.105,9
Bioplastic,1306,Medium,1,0.914,6.53,7
Bioplastic,1565,Medium,1,1.095,7.825,7
Bioplastic,1234,Medium,1,0.864,6.17,7
Plastic,1012,Medium,1,2.125,5.06,2
Metal,426,Medium,0,0.767,2.13,5
Bioplastic,477,Low,1,0.334,2.385,7
Paper,540,High,0,0.486,2.7,9
Plastic,772,Medium,1,1.621,3.86,2
Bioplastic,579,High,1,0.405,2.895,7
Metal,255,Low,1,0.459,1.275,5
Metal,696,High,1,1.253,3.48,5
Plastic,338,Low,1,0.71,1.69,2
Glass,162,Low,1,0.243,0.81,6
Glass,1256,Medium,0,1.884,6.28,6
Bioplastic,251,Low,1,0.176,1.255,7
Paper,586,High,1,0.527,2.93,9
Paper,1655,High,1,1.49,8.275,9
Metal,1734,Medium,1,3.121,8.67,5
Paper,903,Medium,1,0.813,4.515,9
Bioplastic,1177,High,1,0.824,5.885,7
Glass,404,Low,1,0.606,2.02,6
Bioplastic,468,Low,1,0.328,2.34,7
Bioplastic,257,Low,1,0.18,1.285,7
Paper,1589,Medium,0,1.43,7.945,9
Paper,1951,High,1,1.756,9.755,9
Ceramic,502,Medium,0,0.602,2.51,5
Bioplastic,1810,High,1,1.267,9.05,7
Bioplastic,1832,Low,1,1.282,9.16,7
Metal,333,Low,1,0.599,1.665,5
Paper,1454,Low,0,1.309,7.27,9
Bioplastic,800,Low,0,0.56,4,7
Metal,359,Low,1,0.646,1.795,5
Plastic,1921,Low,1,4.034,9.605,2
Glass,1441,Medium,0,2.162,7.205,6
Ceramic,1491,Low,1,1.789,7.455,5
Glass,1875,High,1,2.812,9.375,6
Plastic,180,Low,1,0.378,0.9,2
Plastic,1105,Low,1,2.321,5.525,2
Paper,445,Low,1,0.401,2.225,9
Glass,1555,Low,1,2.333,7.775,6
Glass,294,Medium,1,0.441,1.47,6
Bioplastic,1752,Medium,0,1.226,8.76,7
Paper,1279,Medium,1,1.151,6.395,9
Ceramic,290,High,1,0.348,1.45,5
Glass,684,Low,1,1.026,3.42,6
Bioplastic,578,Low,1,0.405,2.89,7
Ceramic,977,High,0,1.172,4.885,5
Plastic,170,Low,0,0.357,0.85,2
Metal,624,Medium,1,1.123,3.12,5
Plastic,280,Low,0,0.588,1.4,2
Bioplastic,858,Medium,1,0.601,4.29,7
Paper,1327,Low,0,1.194,6.635,9
Metal,419,Medium,1,0.754,2.095,5
Ceramic,1901,Medium,0,2.281,9.505,5
Ceramic,1038,Medium,1,1.246,5.19,5
Glass,1413,Medium,1,2.119,7.065,6
Paper,154,Medium,0,0.139,0.77,9
Plastic,645,High,1,1.355,3.225,2
Paper,666,Medium,1,0.599,3.33,9
Ceramic,1148,Low,1,1.378,5.74,5
Glass,813,Medium,1,1.22,4.065,6
Bioplastic,208,Low,1,0.146,1.04,7
Glass,1403,Medium,1,2.104,7.015,6
Plastic,1730,High,1,3.633,8.65,2
Ceramic,1224,Medium,1,1.469,6.12,5
Bioplastic,1625,Medium,1,1.137,8.125,7
Bioplastic,1409,Low,1,0.986,7.045,7
Plastic,1149,Medium,0,2.413,5.745,2
Ceramic,1120,Low,0,1.344,5.6,5
Glass,239,High,1,0.358,1.195,6
Ceramic,1503,Low,1,1.804,7.515,5
Metal,312,Medium,1,0.562,1.56,5
Glass,217,Low,1,0.326,1.085,6
Plastic,923,Medium,1,1.938,4.615,2
Plastic,1973,Low,0,4.143,9.865,2
Metal,274,Low,1,0.493,1.37,5
Glass,292,High,1,0.438,1.46,6
Ceramic,473,Medium,1,0.568,2.365,5
Bioplastic,1278,High,1,0.895,6.39,7
Ceramic,1801,High,0,2.161,9.005,5
Ceramic,1138,Low,0,1.366,5.69,5
Glass,1811,Medium,1,2.716,9.055,6
Metal,1282,Medium,1,2.308,6.41,5
Metal,1256,Medium,1,2.261,6.28,5
Plastic,830,Low,0,1.743,4.15,2
Ceramic,1087,Medium,1,1.304,5.435,5
Plastic,1056,Low,1,2.218,5.28,2
Ceramic,997,Medium,1,1.196,4.985,5
Glass,1983,High,1,2.974,9.915,6
Plastic,1538,Medium,1,3.23,7.69,2
Bioplastic,1791,Medium,1,1.254,8.955,7
Bioplastic,516,Low,1,0.361,2.58,7
Ceramic,327,Medium,1,0.392,1.635,5
Metal,386,Medium,1,0.695,1.93,5
Metal,1546,Low,1,2.783,7.73,5
Plastic,1611,Low,1,3.383,8.055,2
Glass,723,High,1,1.085,3.615,6
Ceramic,184,Medium,0,0.221,0.92,5
Metal,1140,High,0,2.052,5.7,5
Bioplastic,171,High,1,0.12,0.855,7
Ceramic,902,High,1,1.082,4.51,5
Bioplastic,879,Low,1,0.615,4.395,7
Bioplastic,1229,Low,1,0.86,6.145,7
Glass,554,Medium,1,0.831,2.77,6
Glass,538,High,1,0.807,2.69,6
Glass,1112,Medium,1,1.668,5.56,6
Bioplastic,351,Low,1,0.246,1.755,7
Bioplastic,1685,Medium,1,1.179,8.425,7
Paper,689,Medium,1,0.62,3.445,9
Metal,413,Low,1,0.743,2.065,5
Ceramic,819,Medium,1,0.983,4.095,5
Glass,1993,Medium,1,2.99,9.965,6
Glass,1660,Medium,1,2.49,8.3,6
Bioplastic,1377,Medium,1,0.964,6.885,7
Metal,1503,Low,1,2.705,7.515,5
Metal,1442,Medium,1,2.596,7.21,5
Paper,1378,Low,0,1.24,6.89,9
Bioplastic,1814,Low,1,1.27,9.07,7
Metal,684,Low,1,1.231,3.42,5
Bioplastic,1159,Medium,1,0.811,5.795,7
Ceramic,537,High,1,0.644,2.685,5
Paper,1307,Low,1,1.176,6.535,9
Metal,1177,High,1,2.119,5.885,5
Glass,1369,Medium,1,2.054,6.845,6
Ceramic,1455,Medium,1,1.746,7.275,5
Paper,1117,Low,1,1.005,5.585,9
Bioplastic,1308,High,0,0.916,6.54,7
Paper,1191,High,1,1.072,5.955,9
Glass,502,Low,1,0.753,2.51,6
Paper,1336,Medium,1,1.202,6.68,9
Glass,591,High,0,0.886,2.955,6
Plastic,1437,Medium,1,3.018,7.185,2
Plastic,603,Medium,0,1.266,3.015,2
Paper,1069,Low,1,0.962,5.345,9
Glass,1365,High,1,2.047,6.825,6
Paper,487,Low,1,0.438,2.435,9
Bioplastic,700,Low,1,0.49,3.5,7
Plastic,378,Medium,1,0.794,1.89,2
Ceramic,711,Medium,1,0.853,3.555,5
Metal,952,Medium,0,1.714,4.76,5
Paper,646,Low,1,0.581,3.23,9
Ceramic,413,Low,0,0.496,2.065,5
Plastic,1946,High,1,4.087,9.73,2
Paper,1810,Low,1,1.629,9.05,9
Bioplastic,1940,High,0,1.358,9.7,7
Ceramic,932,Low,0,1.118,4.66,5
Plastic,1790,Low,1,3.759,8.95,2
Glass,1081,Low,1,1.621,5.405,6
Ceramic,1253,Medium,0,1.504,6.265,5
Ceramic,1690,Medium,1,2.028,8.45,5
Ceramic,1389,High,1,1.667,6.945,5
Paper,866,Low,0,0.779,4.33,9
Ceramic,1629,High,0,1.955,8.145,5
Bioplastic,580,Low,0,0.406,2.9,7
Plastic,1658,Low,1,3.482,8.29,2
Paper,878,Low,1,0.79,4.39,9
Glass,1651,Medium,1,2.477,8.255,6
Plastic,651,Medium,1,1.367,3.255,2
Ceramic,692,Medium,0,0.83,3.46,5
Bioplastic,527,High,1,0.369,2.635,7
Paper,1083,Low,1,0.975,5.415,9
Paper,161,High,1,0.145,0.805,9
Bioplastic,1516,Low,1,1.061,7.58,7
Paper,910,Low,1,0.819,4.55,9
Metal,963,High,0,1.733,4.815,5
Paper,362,Medium,0,0.326,1.81,9
Glass,1254,Low,1,1.881,6.27,6
Metal,1565,Low,0,2.817,7.825,5
Metal,1036,Low,0,1.865,5.18,5
Plastic,1317,Low,1,2.766,6.585,2
Bioplastic,673,Low,0,0.471,3.365,7
Metal,889,Low,1,1.6,4.445,5
Ceramic,1392,Low,1,1.67,6.96,5
Paper,778,Low,1,0.7,3.89,9
Plastic,1110,Low,1,2.331,5.55,2
Metal,981,Low,1,1.766,4.905,5
Glass,1144,Medium,1,1.716,5.72,6
Metal,1030,Low,0,1.854,5.15,5
Bioplastic,1784,High,1,1.249,8.92,7
Glass,1567,High,1,2.35,7.835,6
Plastic,1486,Medium,0,3.121,7.43,2
Ceramic,1429,Low,1,1.715,7.145,5
Plastic,561,Low,1,1.178,2.805,2
Bioplastic,1141,Low,0,0.799,5.705,7
Paper,793,Low,0,0.714,3.965,9
Metal,1817,Medium,1,3.271,9.085,5
Bioplastic,1982,Medium,1,1.387,9.91,7
Bioplastic,760,High,1,0.532,3.8,7
Plastic,1369,Medium,0,2.875,6.845,2
Paper,1754,Medium,1,1.579,8.77,9
Glass,1414,Low,1,2.121,7.07,6
Glass,172,Medium,1,0.258,0.86,6
Metal,1974,Medium,1,3.553,9.87,5
Metal,913,High,0,1.643,4.565,5
Paper,279,Low,1,0.251,1.395,9
Ceramic,1858,Medium,1,2.23,9.29,5
Paper,1252,Low,1,1.127,6.26,9
Glass,1654,Low,0,2.481,8.27,6
Glass,1395,Low,1,2.092,6.975,6
Bioplastic,1589,Medium,1,1.112,7.945,7
Ceramic,1502,Medium,0,1.802,7.51,5
Glass,1629,Low,1,2.443,8.145,6
Paper,1017,Low,0,0.915,5.085,9
Glass,690,High,1,1.035,3.45,6
Glass,794,Low,1,1.191,3.97,6
Metal,356,High,0,0.641,1.78,5
Bioplastic,1283,Low,1,0.898,6.415,7
Bioplastic,698,Medium,1,0.489,3.49,7
Glass,765,Low,1,1.147,3.825,6
Metal,953,Low,1,1.715,4.765,5
Bioplastic,1756,Medium,1,1.229,8.78,7
Metal,1516,High,1,2.729,7.58,5
Metal,1698,Medium,0,3.056,8.49,5
Metal,1589,Medium,1,2.86,7.945,5
Ceramic,864,Medium,1,1.037,4.32,5
Metal,1868,Medium,1,3.362,9.34,5
Paper,1960,Medium,0,1.764,9.8,9
Ceramic,1780,Low,1,2.136,8.9,5
Plastic,1077,Low,1,2.262,5.385,2
Metal,497,Low,1,0.895,2.485,5
Ceramic,1284,Medium,1,1.541,6.42,5
Metal,1738,Low,1,3.128,8.69,5
Bioplastic,290,Medium,1,0.203,1.45,7
Bioplastic,1389,High,1,0.972,6.945,7
Glass,963,Low,1,1.444,4.815,6
Ceramic,1166,Low,1,1.399,5.83,5
Glass,1619,Low,1,2.429,8.095,6
Paper,939,Low,1,0.845,4.695,9
Paper,135,Low,1,0.121,0.675,9
Metal,1878,Low,0,3.38,9.39,5
Bioplastic,394,Low,1,0.276,1.97,7
Paper,1385,Low,1,1.246,6.925,9
Glass,379,Low,1,0.569,1.895,6
Paper,1036,Low,1,0.932,5.18,9
Bioplastic,424,High,1,0.297,2.12,7
Plastic,1261,Low,1,2.648,6.305,2
Ceramic,1870,Medium,1,2.244,9.35,5
Paper,100,Medium,1,0.09,0.5,9
Glass,1996,High,1,2.994,9.98,6
Plastic,1975,Medium,1,4.147,9.875,2
Glass,1396,Medium,1,2.094,6.98,6
Ceramic,1057,Low,1,1.268,5.285,5
Paper,503,Medium,0,0.453,2.515,9
Metal,1353,Low,1,2.435,6.765,5
Paper,1648,Low,1,1.483,8.24,9
Paper,956,Low,1,0.86,4.78,9
Plastic,1333,Low,0,2.799,6.665,2
Metal,450,Low,1,0.81,2.25,5
Ceramic,518,Low,0,0.622,2.59,5
Plastic,1799,Low,0,3.778,8.995,2
Plastic,1962,High,1,4.12,9.81,2
Plastic,1543,High,1,3.24,7.715,2
Bioplastic,117,Medium,1,0.082,0.585,7
Plastic,657,Low,1,1.38,3.285,2
Ceramic,1035,Low,1,1.242,5.175,5
Plastic,583,High,1,1.224,2.915,2
Paper,1480,Low,1,1.332,7.4,9
Ceramic,435,Low,0,0.522,2.175,5
Ceramic,1289,Medium,1,1.547,6.445,5
Plastic,331,High,1,0.695,1.655,2
Paper,138,High,0,0.124,0.69,9
Plastic,1993,Medium,1,4.185,9.965,2
Paper,892,Low,1,0.803,4.46,9
Metal,1637,Medium,0,2.947,8.185,5
Glass,524,Low,1,0.786,2.62,6
Glass,1166,Low,0,1.749,5.83,6
Bioplastic,473,Medium,1,0.331,2.365,7
Plastic,1022,Medium,1,2.146,5.11,2
Glass,1561,Medium,1,2.341,7.805,6
Paper,1887,High,1,1.698,9.435,9
Glass,763,Low,0,1.145,3.815,6
Paper,580,High,1,0.522,2.9,9
Paper,942,Medium,1,0.848,4.71,9
Ceramic,1329,Low,1,1.595,6.645,5
Metal,1792,Low,0,3.226,8.96,5
Plastic,1265,Medium,1,2.656,6.325,2
Bioplastic,394,Low,1,0.276,1.97,7
Bioplastic,877,Medium,0,0.614,4.385,7
Bioplastic,1303,High,1,0.912,6.515,7
Paper,994,High,0,0.895,4.97,9
Paper,1003,Low,0,0.903,5.015,9
Ceramic,1464,Medium,0,1.757,7.32,5
Bioplastic,1031,Medium,0,0.722,5.155,7
Metal,1800,Medium,0,3.24,9,5
Metal,1537,Medium,1,2.767,7.685,5
Metal,495,High,1,0.891,2.475,5
Paper,1038,Medium,1,0.934,5.19,9
Ceramic,535,Medium,1,0.642,2.675,5
Glass,552,Low,1,0.828,2.76,6
Bioplastic,605,High,1,0.423,3.025,7
Bioplastic,268,Medium,1,0.188,1.34,7
Glass,382,High,1,0.573,1.91,6
Glass,594,Low,1,0.891,2.97,6
Glass,1748,High,1,2.622,8.74,6
Ceramic,761,High,1,0.913,3.805,5
Plastic,1992,Medium,0,4.183,9.96,2
Metal,1550,High,1,2.79,7.75,5
Ceramic,590,Medium,1,0.708,2.95,5
Paper,1560,High,1,1.404,7.8,9
Glass,1290,Medium,1,1.935,6.45,6
Glass,528,Low,1,0.792,2.64,6
Plastic,1628,Low,1,3.419,8.14,2
Metal,792,Medium,1,1.426,3.96,5
Ceramic,390,Low,0,0.468,1.95,5
Bioplastic,1603,Medium,1,1.122,8.015,7
Ceramic,1866,Medium,1,2.239,9.33,5
Bioplastic,1858,Low,1,1.301,9.29,7
Paper,1071,Low,1,0.964,5.355,9
Paper,899,Medium,1,0.809,4.495,9
Plastic,701,Medium,0,1.472,3.505,2
Metal,362,Medium,1,0.652,1.81,5
Paper,267,Medium,1,0.24,1.335,9
Paper,754,Low,1,0.679,3.77,9
Glass,1826,Low,1,2.739,9.13,6
Ceramic,1635,Medium,1,1.962,8.175,5
Paper,1759,Medium,1,1.583,8.795,9
Metal,1464,Medium,1,2.635,7.32,5
Ceramic,137,Medium,0,0.164,0.685,5
Bioplastic,714,Low,1,0.5,3.57,7
Glass,590,Medium,1,0.885,2.95,6
Ceramic,615,Low,0,0.738,3.075,5
Ceramic,1475,Medium,0,1.77,7.375,5
Metal,925,Low,0,1.665,4.625,5
Metal,594,Medium,1,1.069,2.97,5
Glass,849,Medium,1,1.274,4.245,6
Plastic,1985,Low,0,4.168,9.925,2
Paper,489,Medium,0,0.44,2.445,9
Glass,932,High,1,1.398,4.66,6
Plastic,598,High,1,1.256,2.99,2
Paper,1443,Low,1,1.299,7.215,9
Ceramic,618,Low,0,0.742,3.09,5
Bioplastic,1158,High,0,0.811,5.79,7
Metal,1843,Low,1,3.317,9.215,5
Ceramic,1474,High,1,1.769,7.37,5
Glass,1454,High,0,2.181,7.27,6
Metal,508,Medium,1,0.914,2.54,5
Glass,1818,Low,1,2.727,9.09,6
Ceramic,1718,Medium,1,2.062,8.59,5
Plastic,822,High,1,1.726,4.11,2
Ceramic,1101,Low,1,1.321,5.505,5
Plastic,487,Low,1,1.023,2.435,2
Plastic,237,Medium,1,0.498,1.185,2
Glass,1894,High,0,2.841,9.47,6
Paper,1835,High,1,1.651,9.175,9
Glass,450,High,0,0.675,2.25,6
Glass,1412,Medium,1,2.118,7.06,6
Bioplastic,1201,Low,1,0.841,6.005,7
Plastic,435,Low,0,0.913,2.175,2
Metal,1998,Low,1,3.596,9.99,5
Ceramic,616,Low,1,0.739,3.08,5
Glass,1674,Low,1,2.511,8.37,6
Ceramic,725,High,1,0.87,3.625,5
Paper,1036,High,1,0.932,5.18,9
Glass,186,Medium,1,0.279,0.93,6
Paper,1074,Medium,0,0.967,5.37,9
Plastic,612,Medium,1,1.285,3.06,2
Glass,1111,Medium,1,1.667,5.555,6
Bioplastic,1581,Low,1,1.107,7.905,7
Glass,130,Low,0,0.195,0.65,6
Paper,396,Low,1,0.356,1.98,9
Metal,260,Medium,1,0.468,1.3,5
Metal,847,Low,0,1.525,4.235,5
Paper,1518,High,1,1.366,7.59,9
Ceramic,218,Low,1,0.262,1.09,5
Paper,1605,High,1,1.444,8.025,9
Paper,783,High,1,0.705,3.915,9
Ceramic,1700,Low,1,2.04,8.5,5
Plastic,884,Medium,1,1.856,4.42,2
Metal,1620,Medium,1,2.916,8.1,5
Metal,965,Low,0,1.737,4.825,5
Ceramic,1803,Low,1,2.164,9.015,5
Plastic,1227,Medium,1,2.577,6.135,2
Metal,1885,High,1,3.393,9.425,5
Paper,1150,Low,1,1.035,5.75,9
Glass,700,High,1,1.05,3.5,6
Bioplastic,1717,Low,1,1.202,8.585,7
Ceramic,1980,High,1,2.376,9.9,5
Bioplastic,1263,Medium,0,0.884,6.315,7
Ceramic,1488,Medium,0,1.786,7.44,5
Paper,324,Medium,0,0.292,1.62,9
Glass,580,Medium,1,0.87,2.9,6
Glass,1528,Low,1,2.292,7.64,6
Plastic,1370,Low,1,2.877,6.85,2
Bioplastic,1871,Low,0,1.31,9.355,7
