material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability,co2_impact_index,eco_score,cost_efficiency,suitability_score
Ceramic,0.3935,,1,0.224976167778837,0.3935,5,0.0011994917407878,5.056,1.2108580228806103,6.1685238322211635
Ceramic,0.7025,,1,0.401811248808389,0.7025,5,0.0012,4.314,1.3999287613981761,6.30068875119161
Plastic,0.3685,,1,0.3689227836034319,0.3685,2,0.0021004070556309,1.452,0.7858436674120756,2.999577216396568
Ceramic,0.3545,,1,0.20281220209723547,0.3545,5,0.0012002820874471,5.149,1.1706925861797575,6.151687797902764
Metal,0.263,,1,0.22569113441372737,0.263,5,0.0018003802281368,5.053,0.8075135372457193,6.037308865586272
Glass,0.807,,0,0.57697807435653,0.807,6,0.0014999999999999,3.579,1.1920622403717525,6.23002192564347
Glass,0.2395,,1,0.1713536701620591,0.2395,6,0.0015010438413361,6.281,0.8826119796240997,7.0681463298379406
Plastic,0.3675,,1,0.3679694947569114,0.3675,2,0.0021006802721088,1.456,0.7853075982888571,2.9995305052430887
Bioplastic,0.655,,1,0.21854146806482366,0.655,7,0.0007,7.083,2.056247194373784,8.436458531935177
Paper,0.475,,1,0.20376549094375596,0.475,9,0.0009,9.145,1.5637062607876981,10.271234509056244
Ceramic,0.5785,,0,0.330791229742612,0.5785,5,0.0011996542783059,3.612,1.3428778490816553,5.247708770257388
Bioplastic,0.8905,,1,0.29718779790276456,0.8905,7,0.0007001684446939,6.753,2.2420124804992194,8.593312202097234
Glass,0.3615,,1,0.2585795996186845,0.36150000000000004,6,0.0015006915629322,5.915,1.008144357304267,7.102920400381316
Plastic,0.225,,1,0.22521448999046711,0.225,2,0.0021,2.055,0.6918510918950609,2.999785510009533
Ceramic,0.134,,1,0.0767397521448999,0.134,5,0.0012014925373134,5.678,0.7581769147788566,6.0572602478551
Metal,0.1895,,1,0.16253574833174453,0.1895,5,0.0017994722955145,5.318,0.7218064633260711,6.026964251668256
Glass,0.7735,,0,0.5531458531935177,0.7735000000000001,6,0.0015003232062055,3.679,1.1842684083777275,6.220354146806483
Ceramic,0.7545,,1,0.43160152526215445,0.7545,5,0.0012001325381047,4.189,1.4192961535013,6.322898474737846
Glass,0.6425,,1,0.45924690181124883,0.6425,6,0.0014996108949416,5.073,1.1488664450694621,7.183253098188751
Paper,0.4775,,1,0.2049571020019066,0.47750000000000004,9,0.0009005235602094,9.14,1.5657939981244138,10.272542897998093
Glass,0.811,,1,0.5798379408960915,0.8109999999999999,6,0.0014999999999999,4.567,1.1929313608637733,7.231162059103909
Paper,0.197,,1,0.08460438512869399,0.197,9,0.0009010152284263,9.645,1.067146914536535,10.112395614871305
Paper,0.19,,0,0.0815061963775024,0.19,9,0.0009,8.658,1.046796218487395,9.108493803622498
Glass,0.5675,,1,0.40562440419447093,0.5675,6,0.0014995594713656,5.298,1.1223746229260934,7.161875595805529
Plastic,0.7035,,1,0.7042421353670163,0.7035,2,0.0021002132196162,0.0449999999999999,0.8747365613702364,2.999257864632984
Plastic,0.4015,,1,0.401811248808389,0.40149999999999997,2,0.0020996264009962,1.314,0.8001016337386017,2.999688751191611
Ceramic,0.2355,,0,0.13465204957102,0.2355,5,0.0011995753715498,4.4350000000000005,1.0036136502132846,5.10084795042898
Ceramic,0.438,,0,0.25047664442326023,0.438,5,0.0011997716894977,3.949,1.2497266421868627,5.187523355576739
Metal,0.099,,1,0.08484270734032412,0.099,5,0.0017979797979797,5.644,0.53559051057246,6.014157292659676
Metal,0.9515,,0,0.8162535748331745,0.9515,5,0.0017997898055701,1.5750000000000002,1.03846798106435,5.135246425166826
Metal,0.7355,,0,0.6310772163965682,0.7355,5,0.0018001359619306,2.352,1.006049680532012,5.1044227836034315
Ceramic,0.707,,1,0.40443279313632036,0.7070000000000001,5,0.0012001414427157,4.303,1.401574222810167,6.30256720686368
Metal,0.673,,0,0.5774547187797904,0.673,5,0.0018001485884101,2.577,0.9934243298388798,5.095545281220209
Metal,0.5915,,1,0.5073879885605339,0.5915,5,0.0017996618765849,3.871,0.9738421093933924,6.084112011439466
Metal,0.5925,,1,0.5083412774070544,0.5925,5,0.0018,3.867,0.9739598840398026,6.084158722592946
Plastic,0.583,,1,0.5836510962821735,0.583,2,0.0021003430531732,0.5510000000000002,0.8527741755560203,2.9993489037178267
Plastic,0.889,,0,0.8898951382268828,0.889,2,0.0021001124859392,-1.734,0.8980749229583975,1.9991048617731173
Glass,0.713,,1,0.5097712106768351,0.713,6,0.0014999999999999,4.861000000000001,1.1692910185257563,7.203228789323165
Ceramic,0.228,,1,0.13036224976167782,0.22799999999999998,5,0.0011995614035087,5.453,0.9897454996896335,6.097637750238322
Metal,0.909,,1,0.7797902764537655,0.909,5,0.0017997799779977,2.728,1.0332007801495287,6.129209723546234
Ceramic,0.107,,0,0.06124880838894185,0.10700000000000001,5,0.0012009345794392,4.743,0.6635707951522318,5.045751191611059
Bioplastic,0.168,,1,0.05600571973307912,0.16799999999999998,7,0.0006994047619047,7.765,1.0768835930339136,8.11199428026692
Paper,0.136,,1,0.058388941849380364,0.136,9,0.0009007352941176,9.755,0.858645801986157,10.07761105815062
Bioplastic,0.2525,,1,0.08412774070543375,0.2525,7,0.00069900990099,7.647,1.3713305720942273,8.168372259294568
Metal,0.262,,1,0.22473784556720686,0.262,5,0.0017996183206106,5.057,0.8068046381916923,6.037262154432794
Ceramic,0.8815,,1,0.5042897998093423,0.8815,5,0.0012002268859897,3.884,1.4587371825209021,6.377210200190658
Glass,0.268,,1,0.19161105815061966,0.268,6,0.0015,6.196,0.9190323635174894,7.07638894184938
Glass,0.8305,,1,0.5936606291706388,0.8305,6,0.0014996989765201,4.509,1.1972713529856387,7.236839370829361
Plastic,0.863,,1,0.8639180171591992,0.8630000000000001,2,0.0021002317497103,-0.625,0.8953043564258518,2.9990819828408006
Glass,0.809,,1,0.5784080076263108,0.8089999999999999,6,0.0015,4.573,1.1924977165741584,7.230591992373689
Bioplastic,0.8355,,1,0.278836987607245,0.8355,7,0.0007001795332136,6.83,2.205434071464519,8.556663012392754
Bioplastic,0.433,,1,0.1444232602478551,0.433,7,0.0006997690531177,7.394,1.7715171606864275,8.288576739752145
Glass,0.7565,,1,0.5407530981887513,0.7565000000000001,6,0.0014996695307336,4.731,1.180641969798408,7.215746901811249
Plastic,0.3375,,1,0.3377025738798856,0.3375,2,0.0020992592592592,1.583,0.7710715452466514,2.9997974261201144
Ceramic,0.113,,1,0.06458531935176359,0.11299999999999999,5,0.0011991150442477,5.729,0.6865739936287285,6.048414680648236
Plastic,0.058,,1,0.05815061963775024,0.057999999999999996,2,0.002103448275862,2.756,0.3667389993972272,2.9998493803622495
Bioplastic,0.4335,,1,0.14466158245948524,0.4335,7,0.0007001153402537,7.393,1.7718351841028637,8.288838417540514
Paper,0.9145,,0,0.392278360343184,0.9145,9,0.0008999453253143,7.354,1.8576888071262587,9.522221639656816
Ceramic,0.9205,,1,0.5264537654909438,0.9205,5,0.0011998913633894,3.791,1.4693821806284713,6.394046234509056
Glass,0.2795,,1,0.19995233555767397,0.27949999999999997,6,0.0015008944543828,6.161,0.9318147147624344,7.079547664442326
Bioplastic,0.0955,,1,0.03193517635843661,0.0955,7,0.0007015706806282,7.866,0.7238403179190752,8.063564823641565
Ceramic,0.771,,1,0.44089609151572934,0.771,5,0.0011997405966277,4.15,1.4254124074726822,6.33010390848427
Paper,0.7235,,1,0.3102955195424214,0.7235,9,0.0008997926744989,8.698,1.7633631505576208,10.413204480457578
Bioplastic,0.8895,,1,0.29671115347950433,0.8895,7,0.0006998313659359,6.755,2.2421855100324395,8.592788846520495
Paper,0.933,,1,0.4001429933269781,0.933,9,0.0008997856377277,8.321,1.8654665014771754,10.532857006673021
Bioplastic,0.536,,1,0.17874165872259296,0.536,7,0.0006996268656716,7.25,1.9229274965800276,8.357258341277406
Plastic,0.1385,,1,0.13870352716873213,0.1385,2,0.0021010830324909,2.418,0.5802176517571885,2.999796472831268
Glass,0.676,,1,0.48331744518589137,0.6759999999999999,6,0.0015,4.972,1.158888707305115,7.192682554814109
Plastic,0.6845,,0,0.6851763584366063,0.6845,2,0.0021000730460189,-0.875,0.8717786681235962,1.9993236415633935
Ceramic,0.686,,1,0.392278360343184,0.686,5,0.0011997084548104,4.354,1.3935205267234705,6.293721639656816
Plastic,0.949,,1,0.9499523355576741,0.9490000000000001,2,0.0021001053740779,-0.9860000000000002,0.9038505538405666,2.9990476644423256
Bioplastic,0.2745,,1,0.0915157292659676,0.2745,7,0.0006994535519125,7.616,1.4333026381284222,8.182984270734032
Paper,0.647,,1,0.2776453765490944,0.647,9,0.0009003091190108,8.835,1.713247507257352,10.369354623450906
Ceramic,0.447,,0,0.255719733079123,0.44699999999999995,5,0.0012002237136465,3.927,1.2566072624949751,5.191280266920877
Paper,0.1515,,1,0.06506196377502384,0.1515,9,0.0009009900990099,9.727,0.9178371354317064,10.086438036224976
Bioplastic,0.157,,1,0.052430886558627265,0.157,7,0.0007006369426751,7.78,1.0299749843652282,8.104569113441373
Paper,0.2535,,1,0.10867492850333652,0.2535,9,0.0008994082840236,9.544,1.2148081315669255,10.144825071496664
Ceramic,0.966,,1,0.5524308865586273,0.966,5,0.0011997929606625,3.682,1.4806165984804207,6.413569113441373
Ceramic,0.4095,,1,0.23427073403241183,0.4095,5,0.0012002442002442,5.017,1.225054898046485,6.175229265967587
Ceramic,0.424,,1,0.24261201143946617,0.42400000000000004,5,0.0012004716981132,4.982,1.2375514746800222,6.181387988560534
Bioplastic,0.155,,1,0.0517159199237369,0.155,7,0.0007,7.783,1.0216462456801758,8.103284080076264
Plastic,0.251,,1,0.25119161105815063,0.251,2,0.0020996015936254,1.946,0.7147095548317046,2.999808388941849
Bioplastic,0.5295,,1,0.17659675881792183,0.5295,7,0.000699716713881,7.259,1.9143391349302084,8.352903241182076
Ceramic,0.938,,1,0.536463298379409,0.9380000000000001,5,0.0011998933901918,3.749,1.473769190444095,6.401536701620591
Plastic,0.397,,1,0.3972831267874166,0.397,2,0.0020994962216624,1.333,0.7983379660692035,2.9997168732125834
Metal,0.0695,,0,0.05958055290753098,0.06949999999999999,5,0.0017985611510791,4.75,0.4355167264038231,5.009919447092469
Glass,0.971,,1,0.694232602478551,0.9710000000000001,6,0.0014999999999999,4.087,1.2225637640280864,7.276767397521449
Glass,0.363,,1,0.25953288846520495,0.363,6,0.0015,5.911,1.0096433779663265,7.103467111534795
Glass,0.839,,1,0.5998570066730219,0.8390000000000001,6,0.0015,4.4830000000000005,1.1988163181911056,7.239142993326978
Glass,0.324,,1,0.23164918970448048,0.324,6,0.0015,6.0280000000000005,0.9769359011210117,7.092350810295519
Plastic,0.622,,1,0.6224976167778837,0.622,2,0.0020996784565916,0.3879999999999999,0.8609024937326824,2.999502383222116
Bioplastic,0.29,,0,0.09675881792183033,0.29,7,0.0007,6.594,1.4738856589147284,7.19324118207817
Glass,0.094,,1,0.06720686367969494,0.094,6,0.0014999999999999,6.718,0.5621778791334093,7.026793136320306
Metal,0.6825,,1,0.5855576739752145,0.6825,5,0.0018,3.543,0.9955398734617257,6.096942326024785
Glass,0.7915,,0,0.5657769304099143,0.7915,6,0.0014996841440303,3.626,1.1888366265750285,6.225723069590086
Bioplastic,0.435,,1,0.14513822688274547,0.43499999999999994,7,0.0007,7.391,1.774509041415516,8.289861773117254
Plastic,0.1995,,0,0.19971401334604386,0.1995,2,0.0021002506265664,1.162,0.6656345419847328,1.9997859866539562
Ceramic,0.9675,,1,0.5533841754051478,0.9675,5,0.0012,3.678,1.4807521155529617,6.414115824594853
Ceramic,0.776,,1,0.4437559580552908,0.776,5,0.0011997422680412,4.138,1.4271107994389902,6.332244041944709
Glass,0.0595,,1,0.04242135367016206,0.0595,6,0.0014957983193277,6.822,0.41777443105756357,7.017078646329838
Glass,0.2355,,1,0.1684938036224976,0.2355,6,0.0015010615711252,6.293,0.8771152139179832,7.067006196377503
Plastic,0.8665,,1,0.867254528122021,0.8664999999999999,2,0.0020998268897864,-0.6389999999999998,0.8958345242201744,2.9992454718779786
Ceramic,0.084,,1,0.048141086749285036,0.08399999999999999,5,0.0012023809523809,5.798,0.5670270270270269,6.035858913250714
Bioplastic,0.8095,,1,0.2700190657769304,0.8095000000000001,7,0.0006998147004323,6.867,2.187725106273348,8.53948093422307
Metal,0.271,,1,0.23260247855100097,0.271,5,0.00180073800738,5.024,0.814786471768415,6.038397521448999
Paper,0.424,,1,0.18183984747378457,0.42400000000000004,9,0.0008997641509433,9.237,1.5044004735328937,10.242160152526214
Paper,0.3355,,1,0.14394661582459486,0.3355,9,0.0009001490312965,9.396,1.3753008987885893,10.191553384175405
Paper,0.6695,,1,0.2871782650142994,0.6695,9,0.000899925317401,8.795,1.7291776437276865,10.3823217349857
Plastic,0.214,,1,0.21425166825548142,0.21400000000000002,2,0.0021004672897196,2.101,0.6809828606097376,2.9997483317445184
Plastic,0.8895,,1,0.890371782650143,0.8895,2,0.0021000562113546,-0.7360000000000002,0.8981475599191452,2.999128217349857
Bioplastic,0.3725,,1,0.12416587225929458,0.3725,7,0.0006993288590604,7.479,1.6617159260046779,8.248334127740705
Metal,0.122,,1,0.10462345090562442,0.122,5,0.0017991803278688,5.561,0.5962170976007454,6.017376549094376
Ceramic,0.6945,,1,0.3972831267874166,0.6945,5,0.0012001439884809,4.333,1.3965887089044378,6.297216873212583
Bioplastic,0.5005,,1,0.1670638703527169,0.5005,7,0.0007002997002997,7.299,1.8740835266821343,8.333436129647282
Ceramic,0.471,,1,0.26930409914204,0.471,5,0.0011995753715498,4.87,1.2753717088280847,6.20169590085796
Plastic,0.1475,,1,0.14775977121067685,0.14750000000000002,2,0.0021016949152542,2.38,0.5953347441323587,2.999740228789323
Ceramic,0.93,,1,0.5319351763584367,0.93,5,0.0012,3.768,1.4716699351335043,6.398064823641563
Ceramic,0.4445,,1,0.25428979980934224,0.4445,5,0.0012002249718785,4.933,1.2546226288174356,6.190210200190657
Bioplastic,0.419,,1,0.13989513822688274,0.41900000000000004,7,0.0007004773269689,7.413,1.7465964633419433,8.279104861773117
Metal,0.965,,1,0.8279313632030506,0.9650000000000001,5,0.0018,2.526,1.0399476063283337,6.13706863679695
Bioplastic,0.6395,,1,0.21329837940896093,0.6395,7,0.0006997654417513,7.105,2.0411851513768444,8.426201620591039
Bioplastic,0.788,,0,0.26286939942802673,0.788,7,0.0006998730964467,5.897,2.171580191777223,7.525130600571973
Metal,0.077,,1,0.06601525262154434,0.077,5,0.0017987012987012,5.723,0.46381280505311506,6.010984747378456
Metal,0.9,,1,0.7721639656816016,0.9,5,0.0018,2.76,1.0319160563996064,6.127836034318399
Glass,0.223,,1,0.15943755958055292,0.223,6,0.0015,6.331,0.8595517178026824,7.063562440419447
Paper,0.3685,,1,0.15800762631077217,0.3685,9,0.000899592944369,9.337,1.428252355440606,10.210492373689227
Metal,0.7865,,1,0.6746901811248809,0.7865,5,0.0017997457088366,3.169,1.0152445702331876,6.11180981887512
Bioplastic,0.535,,0,0.17850333651096284,0.5349999999999999,7,0.0007,6.251,1.9209823720691424,7.356496663489037
Plastic,0.6515,,0,0.6520495710200191,0.6515,2,0.0020997697620874,-0.7360000000000002,0.866299277474965,1.9994504289799808
Glass,0.5785,,1,0.4137273593898952,0.5785,6,0.0015004321521175,5.264,1.126083688996103,7.164772640610105
Glass,0.476,,1,0.340324118207817,0.476,6,0.0015,5.572,1.0810218662048061,7.135675881792183
Bioplastic,0.24,,1,0.08007626310772165,0.24,7,0.0007,7.664,1.3327686606670195,8.159923736892278
Plastic,0.139,,1,0.13918017159199236,0.13899999999999998,2,0.0021007194244604,2.416,0.5811518533280191,2.9998198284080075
Paper,0.135,,1,0.05791229742612012,0.135,9,0.0009,9.757,0.8549049200120736,10.07708770257388
Paper,0.907,,0,0.3891801715919924,0.907,9,0.0009002205071664,7.367,1.8541225762447624,9.517819828408008
Bioplastic,0.977,,1,0.3260247855100096,0.977,7,0.0007001023541453,6.632,2.2932938017453566,8.650975214489991
Metal,0.5925,,1,0.5083412774070544,0.5925,5,0.0018,3.867,0.9739598840398026,6.084158722592946
Bioplastic,0.426,,1,0.14204003813155386,0.426,7,0.0006995305164319,7.404,1.760039385584876,8.283959961868446
Paper,0.866,,0,0.3715443279313632,0.866,9,0.0009001154734411,7.441,1.8365187506317597,9.494455672068636
Metal,0.6155,,0,0.5281220209723547,0.6155,5,0.0018001624695369,2.784,0.9799051449385339,5.087377979027645
Ceramic,0.4655,,1,0.26620591039084845,0.4655,5,0.0011997851772287,4.883,1.2711427827671482,6.199294089609152
Glass,0.5355,,1,0.3829837940896092,0.5355000000000001,6,0.001500466853408,5.393,1.1087328530543767,7.15251620591039
Ceramic,0.9125,,1,0.5219256434699714,0.9125,5,0.0012,3.81,1.4672171980380135,6.390574356530029
Ceramic,0.4545,,1,0.26000953288846523,0.4545,5,0.0012002200220022,4.909,1.262466569575003,6.194490467111535
Plastic,0.2915,,1,0.2917063870352717,0.2915,2,0.0020994854202401,1.776,0.7441798491117059,2.9997936129647282
Ceramic,0.3005,,1,0.17183031458531936,0.3005,5,0.0011996672212978,5.279,1.1054690513764684,6.12866968541468
Ceramic,0.2045,,1,0.11701620591039086,0.2045,5,0.001200488997555,5.509,0.9423259389413572,6.08748379408961
Plastic,0.2735,,0,0.2738322211630124,0.27349999999999997,2,0.0021005484460694,0.851,0.7316116282034935,1.9996677788369874
Glass,0.3145,,1,0.224976167778837,0.3145,6,0.0015007949125596,6.056,0.9677632736872983,7.089523832221163
Metal,0.5435,,1,0.46639656816015257,0.5435,5,0.0018003679852805,4.043,0.9595750231423039,6.077103431839848
Plastic,0.556,,1,0.5564823641563394,0.5559999999999999,2,0.0020998201438848,0.665,0.8469382124446379,2.9995176358436604
Bioplastic,0.454,,1,0.15157292659675883,0.454,7,0.0007004405286343,7.364,1.8046456991284576,8.302427073403242
Glass,0.603,,0,0.4311248808388942,0.603,6,0.0015,4.191,1.1353262137664901,6.171875119161106
Plastic,0.6295,,1,0.6301239275500478,0.6295,2,0.0021000794281175,0.3559999999999998,0.8621823997910953,2.9993760724499525
Metal,0.069,,0,0.05910390848427074,0.06899999999999999,5,0.0017971014492753,4.752,0.43367884961054515,5.00989609151573
Plastic,0.493,,1,0.4935653002859867,0.493,2,0.0021004056795131,0.9289999999999998,0.8305741588372278,2.9994346997140133
Glass,0.6135,,1,0.4387511916110582,0.6134999999999999,6,0.0015004074979625,5.159,1.1387445810846675,7.174748808388942
Metal,0.2595,,0,0.22259294566253576,0.2595,5,0.0017996146435452,4.066,0.8044193262411348,5.0369070543374646
Ceramic,0.907,,1,0.5188274547187798,0.907,5,0.0012001102535832,3.823,1.4656751136101056,6.38817254528122
Metal,0.6275,,1,0.53836987607245,0.6275000000000001,5,0.0018,3.741,0.9829724482938849,6.08913012392755
Paper,0.329,,1,0.14108674928503337,0.329,9,0.0008996960486322,9.408,1.364654013444049,10.187913250714967
Plastic,0.079,,1,0.07912297426120116,0.079,2,0.0021012658227848,2.668,0.441037786056413,2.999877025738799
Paper,0.5105,,0,0.21901811248808392,0.5105000000000001,9,0.0009000979431929,8.081,1.6002226206484387,9.291481887511916
Bioplastic,0.653,,1,0.2178265014299333,0.653,7,0.0006998468606431,7.086,2.054580083983203,8.435173498570068
Bioplastic,0.7825,,1,0.2609628217349857,0.7825,7,0.0006996805111821,6.905,2.1678132840353888,8.521537178265014
Bioplastic,0.617,,1,0.20591039084842708,0.617,7,0.0007001620745542,7.136,2.016930507946401,8.411089609151574
Plastic,0.506,,1,0.5064346997140133,0.506,2,0.0020998023715415,0.875,0.8343849720977757,2.999565300285987
Metal,0.213,,0,0.18279313632030506,0.213,5,0.001800469483568,4.233,0.7532007416146974,5.030206863679695
Bioplastic,0.2385,,1,0.0795996186844614,0.2385,7,0.0007002096436058,7.666,1.327953821656051,8.158900381315538
Paper,0.27,,0,0.11582459485224024,0.27,9,0.0009,8.514,1.2510159010600705,9.15417540514776
