material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability,co2_impact_index,eco_score
Plastic,691,Medium,1,1.451,3.455,2,0.0020998552821997105,1.549
Ceramic,1106,High,1,1.327,5.53,5,0.0011998191681735985,4.673
Glass,871,Medium,1,1.306,4.355,6,0.0014994259471871412,5.694
Glass,586,Low,1,0.879,2.93,6,0.0015,6.121
Paper,1566,High,1,1.409,7.83,9,0.0008997445721583652,8.591
Bioplastic,1477,Medium,1,1.034,7.385,7,0.0007000677048070414,6.966
Paper,295,Medium,1,0.266,1.475,9,0.0009016949152542373,9.734
Bioplastic,855,Medium,1,0.599,4.275,7,0.0007005847953216374,7.401
Ceramic,1198,Low,1,1.438,5.99,5,0.0012003338898163606,4.562
Bioplastic,1356,Medium,1,0.949,6.78,7,0.0006998525073746313,7.051
Paper,1761,Low,1,1.585,8.805,9,0.0009000567859170926,8.415
Plastic,639,High,1,1.342,3.195,2,0.0021001564945226916,1.658
Glass,1053,Low,1,1.579,5.265,6,0.001499525166191833,5.421
Metal,257,High,1,0.463,1.285,5,0.0018015564202334632,5.537
Ceramic,1191,Low,1,1.429,5.955,5,0.0011998320738874895,4.571
Plastic,1490,Medium,1,3.129,7.45,2,0.0021,-0.129
Ceramic,609,Medium,1,0.731,3.045,5,0.001200328407224959,5.269
Metal,1245,High,0,2.241,6.225,5,0.0018000000000000002,2.759
Bioplastic,1481,Medium,0,1.037,7.405,7,0.0007002025658338959,5.963
Plastic,1450,Low,1,3.045,7.25,2,0.0021,-0.04499999999999993
Ceramic,787,Low,1,0.944,3.935,5,0.0011994917407878018,5.056
Ceramic,1405,Low,1,1.686,7.025,5,0.0012,4.314
Plastic,737,Medium,1,1.548,3.685,2,0.0021004070556309364,1.452
Ceramic,709,Low,1,0.851,3.545,5,0.0012002820874471086,5.149
Metal,526,Medium,1,0.947,2.63,5,0.001800380228136882,5.053
Glass,1614,High,0,2.421,8.07,6,0.0014999999999999998,3.579
Glass,479,Medium,1,0.719,2.395,6,0.001501043841336117,6.281
Plastic,735,Medium,1,1.544,3.675,2,0.0021006802721088434,1.456
Bioplastic,1310,Low,1,0.917,6.55,7,0.0007,7.083
Paper,950,Low,1,0.855,4.75,9,0.0009,9.145
Ceramic,1157,High,0,1.388,5.785,5,0.0011996542783059636,3.612
Bioplastic,1781,Low,1,1.247,8.905,7,0.0007001684446939922,6.753
Glass,723,Low,1,1.085,3.615,6,0.0015006915629322268,5.915
Plastic,450,Medium,1,0.945,2.25,2,0.0021,2.055
Ceramic,268,Low,1,0.322,1.34,5,0.0012014925373134329,5.678
Metal,379,Low,1,0.682,1.895,5,0.001799472295514512,5.318
Glass,1547,High,0,2.321,7.735,6,0.0015003232062055592,3.679
Ceramic,1509,Low,1,1.811,7.545,5,0.0012001325381047051,4.189
Glass,1285,Low,1,1.927,6.425,6,0.0014996108949416342,5.073
Paper,955,Low,1,0.86,4.775,9,0.0009005235602094241,9.14
Glass,1622,Medium,1,2.433,8.11,6,0.0014999999999999998,4.567
Paper,394,Low,1,0.355,1.97,9,0.0009010152284263959,9.645
Paper,380,Medium,0,0.342,1.9,9,0.0009000000000000001,8.658
Glass,1135,Medium,1,1.702,5.675,6,0.0014995594713656387,5.298
Plastic,1407,Medium,1,2.955,7.035,2,0.0021002132196162046,0.04499999999999993
Plastic,803,Low,1,1.686,4.015,2,0.002099626400996264,1.314
Ceramic,471,Low,0,0.565,2.355,5,0.0011995753715498938,4.4350000000000005
Ceramic,876,High,0,1.051,4.38,5,0.0011997716894977168,3.949
Metal,198,Low,1,0.356,0.99,5,0.0017979797979797978,5.644
Metal,1903,Low,0,3.425,9.515,5,0.0017997898055701522,1.5750000000000002
Metal,1471,High,0,2.648,7.355,5,0.0018001359619306595,2.352
Ceramic,1414,Low,1,1.697,7.07,5,0.0012001414427157,4.303
Metal,1346,Low,0,2.423,6.73,5,0.001800148588410104,2.577
Metal,1183,Low,1,2.129,5.915,5,0.0017996618765849534,3.871
Metal,1185,Medium,1,2.133,5.925,5,0.0018,3.867
Plastic,1166,Medium,1,2.449,5.83,2,0.0021003430531732416,0.5510000000000002
Plastic,1778,Low,0,3.734,8.89,2,0.0021001124859392575,-1.734
Glass,1426,Medium,1,2.139,7.13,6,0.0014999999999999998,4.861000000000001
Ceramic,456,Medium,1,0.547,2.28,5,0.001199561403508772,5.453
Metal,1818,Medium,1,3.272,9.09,5,0.0017997799779977998,2.728
Ceramic,214,Medium,0,0.257,1.07,5,0.0012009345794392523,4.743
Bioplastic,336,Low,1,0.235,1.68,7,0.0006994047619047619,7.765
Paper,272,High,1,0.245,1.36,9,0.0009007352941176471,9.755
Bioplastic,505,High,1,0.353,2.525,7,0.0006990099009900989,7.647
Metal,524,Low,1,0.943,2.62,5,0.0017996183206106869,5.057
Ceramic,1763,High,1,2.116,8.815,5,0.0012002268859897902,3.884
Glass,536,Medium,1,0.804,2.68,6,0.0015,6.196
Glass,1661,Medium,1,2.491,8.305,6,0.0014996989765201686,4.509
Plastic,1726,Medium,1,3.625,8.63,2,0.002100231749710313,-0.625
Glass,1618,Low,1,2.427,8.09,6,0.0015,4.573
Bioplastic,1671,Low,1,1.17,8.355,7,0.0007001795332136445,6.83
Bioplastic,866,Low,1,0.606,4.33,7,0.0006997690531177829,7.394
Glass,1513,Low,1,2.269,7.565,6,0.0014996695307336418,4.731
Plastic,675,Low,1,1.417,3.375,2,0.0020992592592592595,1.583
Ceramic,226,High,1,0.271,1.13,5,0.0011991150442477877,5.729
Plastic,116,Medium,1,0.244,0.58,2,0.002103448275862069,2.7560000000000002
Bioplastic,867,Medium,1,0.607,4.335,7,0.0007001153402537485,7.393
Paper,1829,High,0,1.646,9.145,9,0.0008999453253143794,7.354
Ceramic,1841,Medium,1,2.209,9.205,5,0.0011998913633894622,3.791
Glass,559,Medium,1,0.839,2.795,6,0.0015008944543828265,6.161
Bioplastic,191,Low,1,0.134,0.955,7,0.0007015706806282723,7.866
Ceramic,1542,High,1,1.85,7.71,5,0.0011997405966277562,4.15
Paper,1447,Medium,1,1.302,7.235,9,0.0008997926744989634,8.698
Bioplastic,1779,Low,1,1.245,8.895,7,0.0006998313659359191,6.755
Paper,1866,Low,1,1.679,9.33,9,0.00089978563772776,8.321
Bioplastic,1072,Medium,1,0.75,5.36,7,0.0006996268656716418,7.25
Plastic,277,Low,1,0.582,1.385,2,0.0021010830324909744,2.418
Glass,1352,Low,1,2.028,6.76,6,0.0015,4.9719999999999995
Plastic,1369,Low,0,2.875,6.845,2,0.002100073046018992,-0.875
Ceramic,1372,High,1,1.646,6.86,5,0.0011997084548104955,4.354
Plastic,1898,High,1,3.986,9.49,2,0.002100105374077977,-0.9860000000000002
Bioplastic,549,Low,1,0.384,2.745,7,0.0006994535519125683,7.616
Paper,1294,Low,1,1.165,6.47,9,0.0009003091190108192,8.835
Ceramic,894,Low,0,1.073,4.47,5,0.0012002237136465323,3.927
Paper,303,Low,1,0.273,1.515,9,0.000900990099009901,9.727
Bioplastic,314,Medium,1,0.22,1.57,7,0.0007006369426751592,7.78
Paper,507,Low,1,0.456,2.535,9,0.0008994082840236687,9.544
Ceramic,1932,High,1,2.318,9.66,5,0.001199792960662526,3.682
Ceramic,819,Low,1,0.983,4.095,5,0.0012002442002442002,5.017
Ceramic,848,Low,1,1.018,4.24,5,0.0012004716981132075,4.982
Bioplastic,310,Medium,1,0.217,1.55,7,0.0007,7.783
Plastic,502,Low,1,1.054,2.51,2,0.002099601593625498,1.946
Bioplastic,1059,High,1,0.741,5.295,7,0.0006997167138810198,7.259
Ceramic,1876,Medium,1,2.251,9.38,5,0.0011998933901918975,3.749
Plastic,794,Low,1,1.667,3.97,2,0.0020994962216624685,1.333
Metal,139,Low,0,0.25,0.695,5,0.0017985611510791368,4.75
Glass,1942,Medium,1,2.913,9.71,6,0.0014999999999999998,4.087
Glass,726,Low,1,1.089,3.63,6,0.0015,5.911
Glass,1678,Low,1,2.517,8.39,6,0.0015,4.4830000000000005
Glass,648,High,1,0.972,3.24,6,0.0015,6.0280000000000005
Plastic,1244,Medium,1,2.612,6.22,2,0.00209967845659164,0.3879999999999999
Bioplastic,580,High,0,0.406,2.9,7,0.0007000000000000001,6.594
Glass,188,High,1,0.282,0.94,6,0.0014999999999999998,6.718
Metal,1365,Low,1,2.457,6.825,5,0.0018,3.543
Glass,1583,Medium,0,2.374,7.915,6,0.0014996841440303222,3.626
Bioplastic,870,High,1,0.609,4.35,7,0.0007,7.391
Plastic,399,Medium,0,0.838,1.995,2,0.002100250626566416,1.162
Ceramic,1935,High,1,2.322,9.675,5,0.0012000000000000001,3.678
Ceramic,1552,High,1,1.862,7.76,5,0.0011997422680412372,4.138
Glass,119,Low,1,0.178,0.595,6,0.001495798319327731,6.822
Glass,471,Medium,1,0.707,2.355,6,0.0015010615711252653,6.293
Plastic,1733,Low,1,3.639,8.665,2,0.0020998268897864975,-0.6389999999999998
Ceramic,168,High,1,0.202,0.84,5,0.0012023809523809524,5.798
Bioplastic,1619,Medium,1,1.133,8.095,7,0.0006998147004323656,6.867
Metal,542,High,1,0.976,2.71,5,0.0018007380073800738,5.024
Paper,848,High,1,0.763,4.24,9,0.0008997641509433963,9.237
Paper,671,Low,1,0.604,3.355,9,0.0009001490312965723,9.396
Paper,1339,High,1,1.205,6.695,9,0.0008999253174010456,8.795
Plastic,428,Medium,1,0.899,2.14,2,0.0021004672897196263,2.101
Plastic,1779,Medium,1,3.736,8.895,2,0.0021000562113546936,-0.7360000000000002
Bioplastic,745,High,1,0.521,3.725,7,0.0006993288590604027,7.479
Metal,244,Medium,1,0.439,1.22,5,0.0017991803278688526,5.561
Ceramic,1389,Medium,1,1.667,6.945,5,0.0012001439884809216,4.333
Bioplastic,1001,Low,1,0.701,5.005,7,0.0007002997002997002,7.299
Ceramic,942,Low,1,1.13,4.71,5,0.0011995753715498938,4.87
Plastic,295,Medium,1,0.62,1.475,2,0.0021016949152542373,2.38
Ceramic,1860,Low,1,2.232,9.3,5,0.0012000000000000001,3.768
Ceramic,889,Low,1,1.067,4.445,5,0.0012002249718785151,4.933
Bioplastic,838,Medium,1,0.587,4.19,7,0.0007004773269689737,7.413
Metal,1930,High,1,3.474,9.65,5,0.0018000000000000002,2.526
Bioplastic,1279,Low,1,0.895,6.395,7,0.0006997654417513683,7.105
Bioplastic,1576,Low,0,1.103,7.88,7,0.0006998730964467005,5.897
Metal,154,High,1,0.277,0.77,5,0.001798701298701299,5.723
Metal,1800,Medium,1,3.24,9.0,5,0.0018000000000000002,2.76
Glass,446,High,1,0.669,2.23,6,0.0015,6.3309999999999995
Paper,737,Medium,1,0.663,3.685,9,0.0008995929443690638,9.337
Metal,1573,Low,1,2.831,7.865,5,0.0017997457088366178,3.169
Bioplastic,1070,Low,0,0.749,5.35,7,0.0007,6.251
Plastic,1303,Low,0,2.736,6.515,2,0.0020997697620874904,-0.7360000000000002
Glass,1157,Medium,1,1.736,5.785,6,0.0015004321521175455,5.264
Glass,952,Medium,1,1.428,4.76,6,0.0015,5.572
Bioplastic,480,Low,1,0.336,2.4,7,0.0007,7.664
Plastic,278,Medium,1,0.584,1.39,2,0.0021007194244604317,2.416
Paper,270,Low,1,0.243,1.35,9,0.0009,9.757
Paper,1814,High,0,1.633,9.07,9,0.0009002205071664829,7.367
Bioplastic,1954,Low,1,1.368,9.77,7,0.0007001023541453429,6.632
Metal,1185,Low,1,2.133,5.925,5,0.0018,3.867
Bioplastic,852,Low,1,0.596,4.26,7,0.0006995305164319249,7.404
Paper,1732,Medium,0,1.559,8.66,9,0.0009001154734411085,7.441
Metal,1231,Medium,0,2.216,6.155,5,0.001800162469536962,2.784
Ceramic,931,Low,1,1.117,4.655,5,0.0011997851772287862,4.883
Glass,1071,Medium,1,1.607,5.355,6,0.0015004668534080298,5.393
Ceramic,1825,Low,1,2.19,9.125,5,0.0012,3.81
Ceramic,909,Medium,1,1.091,4.545,5,0.0012002200220022,4.909
Plastic,583,Low,1,1.224,2.915,2,0.0020994854202401373,1.776
Ceramic,601,Medium,1,0.721,3.005,5,0.0011996672212978368,5.279
Ceramic,409,High,1,0.491,2.045,5,0.001200488997555012,5.509
Plastic,547,Low,0,1.149,2.735,2,0.00210054844606947,0.851
Glass,629,High,1,0.944,3.145,6,0.0015007949125596183,6.056
Metal,1087,High,1,1.957,5.435,5,0.0018003679852805889,4.043
Plastic,1112,High,1,2.335,5.56,2,0.002099820143884892,0.665
Bioplastic,908,Low,1,0.636,4.54,7,0.0007004405286343612,7.364
Glass,1206,Medium,0,1.809,6.03,6,0.0015,4.191
Plastic,1259,Low,1,2.644,6.295,2,0.002100079428117554,0.35599999999999987
Metal,138,Medium,0,0.248,0.69,5,0.0017971014492753623,4.752
Plastic,986,Low,1,2.071,4.93,2,0.002100405679513185,0.9289999999999998
Glass,1227,Low,1,1.841,6.135,6,0.0015004074979625102,5.159
Metal,519,High,0,0.934,2.595,5,0.0017996146435452795,4.066
Ceramic,1814,Low,1,2.177,9.07,5,0.0012001102535832415,3.823
Metal,1255,Medium,1,2.259,6.275,5,0.0018,3.741
Paper,658,Medium,1,0.592,3.29,9,0.0008996960486322188,9.408
Plastic,158,Medium,1,0.332,0.79,2,0.00210126582278481,2.668
Paper,1021,Low,0,0.919,5.105,9,0.0009000979431929481,8.081
Bioplastic,1306,Medium,1,0.914,6.53,7,0.0006998468606431854,7.086
Bioplastic,1565,Medium,1,1.095,7.825,7,0.0006996805111821086,6.905
Bioplastic,1234,Medium,1,0.864,6.17,7,0.000700162074554295,7.136
Plastic,1012,Medium,1,2.125,5.06,2,0.002099802371541502,0.875
Metal,426,Medium,0,0.767,2.13,5,0.0018004694835680752,4.233
Bioplastic,477,Low,1,0.334,2.385,7,0.00070020964360587,7.666
Paper,540,High,0,0.486,2.7,9,0.0009,8.514
Plastic,772,Medium,1,1.621,3.86,2,0.0020997409326424872,1.379
Bioplastic,579,High,1,0.405,2.895,7,0.0006994818652849742,7.595
Metal,255,Low,1,0.459,1.275,5,0.0018000000000000002,5.541
Metal,696,High,1,1.253,3.48,5,0.001800287356321839,4.747
Plastic,338,Low,1,0.71,1.69,2,0.0021005917159763314,2.29
Glass,162,Low,1,0.243,0.81,6,0.0015,6.757
Glass,1256,Medium,0,1.884,6.28,6,0.0014999999999999998,4.116
Bioplastic,251,Low,1,0.176,1.255,7,0.000701195219123506,7.824
Paper,586,High,1,0.527,2.93,9,0.0008993174061433447,9.473
Paper,1655,High,1,1.49,8.275,9,0.0009003021148036253,8.51
Metal,1734,Medium,1,3.121,8.67,5,0.0017998846597462514,2.879
Paper,903,Medium,1,0.813,4.515,9,0.0009003322259136213,9.187
Bioplastic,1177,High,1,0.824,5.885,7,0.0007000849617672047,7.176
Glass,404,Low,1,0.606,2.02,6,0.0015,6.394
Bioplastic,468,Low,1,0.328,2.34,7,0.0007008547008547009,7.672
Bioplastic,257,Low,1,0.18,1.285,7,0.0007003891050583657,7.82
Paper,1589,Medium,0,1.43,7.945,9,0.0008999370673379483,7.57
Paper,1951,High,1,1.756,9.755,9,0.0009000512557662737,8.244
Ceramic,502,Medium,0,0.602,2.51,5,0.001199203187250996,4.398
Bioplastic,1810,High,1,1.267,9.05,7,0.0007,6.7330000000000005
Bioplastic,1832,Low,1,1.282,9.16,7,0.0006997816593886463,6.718
Metal,333,Low,1,0.599,1.665,5,0.0017987987987987987,5.401
Paper,1454,Low,0,1.309,7.27,9,0.0009002751031636863,7.691
Bioplastic,800,Low,0,0.56,4.0,7,0.0007000000000000001,6.4399999999999995
Metal,359,Low,1,0.646,1.795,5,0.0017994428969359331,5.354
Plastic,1921,Low,1,4.034,9.605,2,0.0020999479437792817,-1.0339999999999998
Glass,1441,Medium,0,2.162,7.205,6,0.0015003469812630117,3.838
Ceramic,1491,Low,1,1.789,7.455,5,0.0011998658618376928,4.211
Glass,1875,High,1,2.812,9.375,6,0.0014997333333333332,4.188000000000001
Plastic,180,Low,1,0.378,0.9,2,0.0021,2.622
Plastic,1105,Low,1,2.321,5.525,2,0.002100452488687783,0.6789999999999998
Paper,445,Low,1,0.401,2.225,9,0.000901123595505618,9.599
Glass,1555,Low,1,2.333,7.775,6,0.0015003215434083602,4.667
Glass,294,Medium,1,0.441,1.47,6,0.0015,6.559
Bioplastic,1752,Medium,0,1.226,8.76,7,0.0006997716894977169,5.774
Paper,1279,Medium,1,1.151,6.395,9,0.0008999218139171228,8.849
Ceramic,290,High,1,0.348,1.45,5,0.0012,5.652
Glass,684,Low,1,1.026,3.42,6,0.0015,5.974
Bioplastic,578,Low,1,0.405,2.89,7,0.0007006920415224914,7.595
Ceramic,977,High,0,1.172,4.885,5,0.0011995905834186285,3.8280000000000003
Plastic,170,Low,0,0.357,0.85,2,0.0021,1.643
Metal,624,Medium,1,1.123,3.12,5,0.0017996794871794873,4.877
Plastic,280,Low,0,0.588,1.4,2,0.0021,1.412
Bioplastic,858,Medium,1,0.601,4.29,7,0.0007004662004662005,7.399
Paper,1327,Low,0,1.194,6.635,9,0.0008997739261492087,7.806
Metal,419,Medium,1,0.754,2.095,5,0.0017995226730310263,5.246
Ceramic,1901,Medium,0,2.281,9.505,5,0.001199894792214624,2.719
Ceramic,1038,Medium,1,1.246,5.19,5,0.0012003853564547206,4.754
Glass,1413,Medium,1,2.119,7.065,6,0.001499646142958245,4.881
Paper,154,Medium,0,0.139,0.77,9,0.0009025974025974027,8.861
Plastic,645,High,1,1.355,3.225,2,0.0021007751937984495,1.645
Paper,666,Medium,1,0.599,3.33,9,0.0008993993993993993,9.401
Ceramic,1148,Low,1,1.378,5.74,5,0.001200348432055749,4.622
Glass,813,Medium,1,1.22,4.065,6,0.0015006150061500614,5.78
Bioplastic,208,Low,1,0.146,1.04,7,0.0007019230769230769,7.854
Glass,1403,Medium,1,2.104,7.015,6,0.0014996436208125445,4.896
Plastic,1730,High,1,3.633,8.65,2,0.0021,-0.633
Ceramic,1224,Medium,1,1.469,6.12,5,0.0012001633986928105,4.531
Bioplastic,1625,Medium,1,1.137,8.125,7,0.0006996923076923077,6.8629999999999995
Bioplastic,1409,Low,1,0.986,7.045,7,0.0006997870830376153,7.014
Plastic,1149,Medium,0,2.413,5.745,2,0.0021000870322019144,-0.4129999999999998
Ceramic,1120,Low,0,1.344,5.6,5,0.0012000000000000001,3.6559999999999997
Glass,239,High,1,0.358,1.195,6,0.001497907949790795,6.642
Ceramic,1503,Low,1,1.804,7.515,5,0.001200266134397871,4.196
Metal,312,Medium,1,0.562,1.56,5,0.0018012820512820515,5.438
Glass,217,Low,1,0.326,1.085,6,0.0015023041474654377,6.674
Plastic,923,Medium,1,1.938,4.615,2,0.0020996749729144094,1.062
Plastic,1973,Low,0,4.143,9.865,2,0.0020998479472883933,-2.143
Metal,274,Low,1,0.493,1.37,5,0.0017992700729927008,5.507
Glass,292,High,1,0.438,1.46,6,0.0015,6.562
Ceramic,473,Medium,1,0.568,2.365,5,0.001200845665961945,5.432
Bioplastic,1278,High,1,0.895,6.39,7,0.0007003129890453834,7.105
Ceramic,1801,High,0,2.161,9.005,5,0.0011998889505830095,2.839
Ceramic,1138,Low,0,1.366,5.69,5,0.0012003514938488578,3.634
Glass,1811,Medium,1,2.716,9.055,6,0.0014997239094422972,4.284
Metal,1282,Medium,1,2.308,6.41,5,0.0018003120124804991,3.692
Metal,1256,Medium,1,2.261,6.28,5,0.00180015923566879,3.739
Plastic,830,Low,0,1.743,4.15,2,0.0021000000000000003,0.2569999999999999
Ceramic,1087,Medium,1,1.304,5.435,5,0.0011996320147194112,4.696
Plastic,1056,Low,1,2.218,5.28,2,0.002100378787878788,0.782
Ceramic,997,Medium,1,1.196,4.985,5,0.0011995987963891674,4.804
Glass,1983,High,1,2.974,9.915,6,0.0014997478567826527,4.026
Plastic,1538,Medium,1,3.23,7.69,2,0.0021001300390117036,-0.22999999999999998
Bioplastic,1791,Medium,1,1.254,8.955,7,0.0007001675041876047,6.746
Bioplastic,516,Low,1,0.361,2.58,7,0.0006996124031007752,7.639
Ceramic,327,Medium,1,0.392,1.635,5,0.001198776758409786,5.608
Metal,386,Medium,1,0.695,1.93,5,0.0018005181347150257,5.305
Metal,1546,Low,1,2.783,7.73,5,0.00180012936610608,3.217
Plastic,1611,Low,1,3.383,8.055,2,0.0020999379267535694,-0.383
Glass,723,High,1,1.085,3.615,6,0.0015006915629322268,5.915
Ceramic,184,Medium,0,0.221,0.92,5,0.001201086956521739,4.779
Metal,1140,High,0,2.052,5.7,5,0.0018,2.948
Bioplastic,171,High,1,0.12,0.855,7,0.0007017543859649122,7.88
Ceramic,902,High,1,1.082,4.51,5,0.0011995565410199557,4.918
Bioplastic,879,Low,1,0.615,4.395,7,0.0006996587030716723,7.385
Bioplastic,1229,Low,1,0.86,6.145,7,0.0006997558991049634,7.14
Glass,554,Medium,1,0.831,2.77,6,0.0015,6.1690000000000005
Glass,538,High,1,0.807,2.69,6,0.0015,6.193
Glass,1112,Medium,1,1.668,5.56,6,0.0015,5.332
Bioplastic,351,Low,1,0.246,1.755,7,0.0007008547008547009,7.754
Bioplastic,1685,Medium,1,1.179,8.425,7,0.0006997032640949555,6.821
Paper,689,Medium,1,0.62,3.445,9,0.0008998548621190131,9.38
Metal,413,Low,1,0.743,2.065,5,0.0017990314769975786,5.257
Ceramic,819,Medium,1,0.983,4.095,5,0.0012002442002442002,5.017
Glass,1993,Medium,1,2.99,9.965,6,0.0015002508780732565,4.01
Glass,1660,Medium,1,2.49,8.3,6,0.0015,4.51
Bioplastic,1377,Medium,1,0.964,6.885,7,0.000700072621641249,7.036
Metal,1503,Low,1,2.705,7.515,5,0.0017997338656021292,3.295
Metal,1442,Medium,1,2.596,7.21,5,0.0018002773925104023,3.404
Paper,1378,Low,0,1.24,6.89,9,0.0008998548621190131,7.76
Bioplastic,1814,Low,1,1.27,9.07,7,0.0007001102535832414,6.73
Metal,684,Low,1,1.231,3.42,5,0.0017997076023391814,4.769
Bioplastic,1159,Medium,1,0.811,5.795,7,0.0006997411561691113,7.189
Ceramic,537,High,1,0.644,2.685,5,0.0011992551210428305,5.356
Paper,1307,Low,1,1.176,6.535,9,0.000899770466717674,8.824
Metal,1177,High,1,2.119,5.885,5,0.0018003398470688191,3.881
Glass,1369,Medium,1,2.054,6.845,6,0.0015003652300949596,4.946
Ceramic,1455,Medium,1,1.746,7.275,5,0.0012,4.254
Paper,1117,Low,1,1.005,5.585,9,0.0008997314234556848,8.995000000000001
Bioplastic,1308,High,0,0.916,6.54,7,0.0007003058103975536,6.084
Paper,1191,High,1,1.072,5.955,9,0.0009000839630562553,8.928
Glass,502,Low,1,0.753,2.51,6,0.0015,6.247
Paper,1336,Medium,1,1.202,6.68,9,0.0008997005988023952,8.798
Glass,591,High,0,0.886,2.955,6,0.0014991539763113367,5.114
Plastic,1437,Medium,1,3.018,7.185,2,0.0021002087682672234,-0.017999999999999794
Plastic,603,Medium,0,1.266,3.015,2,0.002099502487562189,0.734
Paper,1069,Low,1,0.962,5.345,9,0.0008999064546304958,9.038
Glass,1365,High,1,2.047,6.825,6,0.0014996336996336997,4.952999999999999
Paper,487,Low,1,0.438,2.435,9,0.0008993839835728952,9.562
Bioplastic,700,Low,1,0.49,3.5,7,0.0007,7.51
Plastic,378,Medium,1,0.794,1.89,2,0.0021005291005291005,2.206
Ceramic,711,Medium,1,0.853,3.555,5,0.00119971870604782,5.147
Metal,952,Medium,0,1.714,4.76,5,0.0018004201680672269,3.286
Paper,646,Low,1,0.581,3.23,9,0.0008993808049535603,9.419
Ceramic,413,Low,0,0.496,2.065,5,0.0012009685230024213,4.504
Plastic,1946,High,1,4.087,9.73,2,0.0021002055498458377,-1.0869999999999997
Paper,1810,Low,1,1.629,9.05,9,0.0009,8.371
Bioplastic,1940,High,0,1.358,9.7,7,0.0007000000000000001,5.6419999999999995
Ceramic,932,Low,0,1.118,4.66,5,0.001199570815450644,3.8819999999999997
Plastic,1790,Low,1,3.759,8.95,2,0.0021,-0.7589999999999999
Glass,1081,Low,1,1.621,5.405,6,0.0014995374653098983,5.379
Ceramic,1253,Medium,0,1.504,6.265,5,0.001200319233838787,3.496
Ceramic,1690,Medium,1,2.028,8.45,5,0.0012000000000000001,3.972
Ceramic,1389,High,1,1.667,6.945,5,0.0012001439884809216,4.333
